Acteurs	Adresses	Latitudes	Longitudes
Adrets de l’Estérel (Les)	Les Adrets-de-l'Estérel-l'Église, Les Adrets-de-l'Estérel, Var, Provence-Alpes-Côte d'Azur, FRA	43.526500000000055	6.838360000000023
Aiguines	Aiguines, Var, Provence-Alpes-Côte d'Azur, FRA	43.77603000000005	6.243010000000027
Ampus	Ampus, Var, Provence-Alpes-Côte d'Azur, FRA	43.60566000000006	6.38199000000003
Artignosc sur Verdon	Artignosc-sur-Verdon, Var, Provence-Alpes-Côte d'Azur, FRA	43.703140000000076	6.090780000000052
Artigues	Artigues, Var, Provence-Alpes-Côte d'Azur, FRA	43.592910000000074	5.8104300000000535
Artigues	Artigues, Varès, Lot-et-Garonne, Nouvelle-Aquitaine, FRA	44.412600000000054	0.35577000000006365
Aups	Aups, Var, Provence-Alpes-Côte d'Azur, FRA	43.626540000000034	6.223780000000033
Bagnols en Forêt	Bagnols-en-Forêt, Var, Provence-Alpes-Côte d'Azur, FRA	43.53886000000006	6.696060000000045
Bandol	Bandol, Var, Provence-Alpes-Côte d'Azur, FRA	43.13620000000003	5.753320000000031
Bargème	Bargème, Var, Provence-Alpes-Côte d'Azur, FRA	43.72938000000005	6.573510000000056
Bargemon	Bargemon, Var, Provence-Alpes-Côte d'Azur, FRA	43.61957000000007	6.550790000000063
Barjols	Barjols, Var, Provence-Alpes-Côte d'Azur, FRA	43.55940000000004	6.005550000000028
Bastide (La)	La Bastide, Var, Provence-Alpes-Côte d'Azur, FRA	43.73550000000006	6.624650000000031
Baudinard sur Verdon	Baudinard-sur-Verdon, Var, Provence-Alpes-Côte d'Azur, FRA	43.71646000000004	6.13399000000004
Bauduen	Bauduen, Var, Provence-Alpes-Côte d'Azur, FRA	43.734740000000045	6.173330000000021
Beausset (Le)	Le Beausset, Var, Provence-Alpes-Côte d'Azur, FRA	43.19595000000004	5.800170000000037
Belgentier	Belgentier, Var, Provence-Alpes-Côte d'Azur, FRA	43.244860000000074	6.000440000000026
Besse sur Issole	Besse-sur-Issole, Var, Provence-Alpes-Côte d'Azur, FRA	43.34898000000004	6.1782100000000355
Bormes les Mimosas	Bormes-les-Mimosas, Var, Provence-Alpes-Côte d'Azur, FRA	43.149320000000046	6.3423100000000545
Bourguet (Le)	Le Bourguet, Var, Provence-Alpes-Côte d'Azur, FRA	43.78332000000006	6.51872000000003
Bras	Bras, Var, Provence-Alpes-Côte d'Azur, FRA	43.470390000000066	5.9574700000000576
Brenon	Brenon, Var, Provence-Alpes-Côte d'Azur, FRA	43.76571000000007	6.543260000000032
Brignolles	Brignoles, Var, Provence-Alpes-Côte d'Azur, FRA	43.406120000000044	6.065510000000074
Brue Auriac	Brue-Auriac, Var, Provence-Alpes-Côte d'Azur, FRA	43.52735000000007	5.944840000000056
Cabasse	Cabasse, Var, Provence-Alpes-Côte d'Azur, FRA	43.42700000000008	6.221030000000042
Cabasse	Cabasse, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.35000000000008	6.650000000000034
Cadière d’Azur (La)	La Cadière-d'Azur, Var, Provence-Alpes-Côte d'Azur, FRA	43.195070000000044	5.755210000000034
Callas	Callas, Var, Provence-Alpes-Côte d'Azur, FRA	43.592340000000036	6.539130000000057
Callian	Callian, Var, Provence-Alpes-Côte d'Azur, FRA	43.62301000000008	6.7532300000000305
Camps la Source	Camps-la-Source, Var, Provence-Alpes-Côte d'Azur, FRA	43.385890000000074	6.097210000000075
Cannet des Maures (Le)	Le Cannet-des-Maures, Var, Provence-Alpes-Côte d'Azur, FRA	43.391860000000065	6.34406000000007
Carcès	Carcès, Var, Provence-Alpes-Côte d'Azur, FRA	43.475490000000036	6.182040000000029
Carnoules	Carnoules, Var, Provence-Alpes-Côte d'Azur, FRA	43.30248000000006	6.189100000000053
Carqueiranne	Carqueiranne, Var, Provence-Alpes-Côte d'Azur, FRA	43.09417000000008	6.074440000000038
Castellet (Le)	Le Castellet, Var, Provence-Alpes-Côte d'Azur, FRA	43.20193000000006	5.77762000000007
Castellet (Le)	Le Castellet, Villecroze, Var, Provence-Alpes-Côte d'Azur, FRA	43.57826000000006	6.257180000000062
Castellet (Le)	Le Castellet, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.252000000000066	5.786000000000058
